"","pt","varName","gcm","Rcp","era","x.mean","x.sd"
"261","YT","tg_mean","CanESM2","rcp85","2071-2100",8.09678095971363,0.95601819555191
"262","YT","tg_mean","CanESM2","rcp85","2041-2070",5.16233760783016,0.470791150372741
"263","YT","tg_mean","FGOALS-g2","rcp85","2071-2100",4.43659931915106,0.855598562182257
"264","YT","tg_mean","FGOALS-g2","rcp85","2041-2070",3.30723755293806,0.556647506249901
"265","YT","tg_mean","GFDL-CM3","rcp85","2071-2100",8.6191481594498,1.62470377573466
"266","YT","tg_mean","GFDL-CM3","rcp85","2041-2070",5.91783144170824,1.17251734816754
"267","YT","tg_mean","GFDL-ESM2G","rcp85","2071-2100",4.93175520898537,0.814208592619004
"268","YT","tg_mean","GFDL-ESM2G","rcp85","2041-2070",3.11008890375033,0.660410272247111
"269","YT","tg_mean","GFDL-ESM2M","rcp85","2071-2100",3.83047584328195,0.756970680239314
"270","YT","tg_mean","GFDL-ESM2M","rcp85","2041-2070",2.49395840394794,0.623771328167203
"271","YT","tg_mean","HadGEM2-AO","rcp85","2071-2100",8.0975942016664,1.14462958301401
"272","YT","tg_mean","HadGEM2-AO","rcp85","2041-2070",5.09146054564098,0.716406385783197
"273","YT","tg_mean","HadGEM2-ES","rcp85","2071-2100",9.22452774464048,1.6520337093379
"274","YT","tg_mean","HadGEM2-ES","rcp85","2041-2070",6.07114786147421,1.24391983032036
"275","YT","tg_mean","IPSL-CM5A-LR","rcp85","2071-2100",7.28654751483385,0.522546314867898
"276","YT","tg_mean","IPSL-CM5A-LR","rcp85","2041-2070",4.74988897514148,0.230127107013824
"277","YT","tg_mean","IPSL-CM5A-MR","rcp85","2071-2100",6.58107614500954,0.33373636977147
"278","YT","tg_mean","IPSL-CM5A-MR","rcp85","2041-2070",4.47759679930226,0.29210340612603
"279","YT","tg_mean","MIROC-ESM-CHEM","rcp85","2071-2100",9.23391624981334,0.771187020545034
"280","YT","tg_mean","MIROC-ESM-CHEM","rcp85","2041-2070",5.65223328050314,0.412663735979956
"281","YT","tg_mean","MIROC-ESM","rcp85","2071-2100",8.51380034367704,0.966598912528631
